cat,name,price,rating
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57 £,One star(s)
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96 £,Four star(s)
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39 £,Three star(s)
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33 £,One star(s)
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41 £,One star(s)
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88 £,Two star(s)
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44 £,Four star(s)
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41 £,Three star(s)
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55 £,Five star(s)
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57 £,Five star(s)
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63 £,Three star(s)
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13 £,One star(s)
Sequential Art,Original Fake,31.45 £,Three star(s)
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72 £,One star(s)
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17 £,Two star(s)
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",49.31 £,One star(s)
Sequential Art,Awkward,38.02 £,Two star(s)
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81 £,One star(s)
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75 £,Three star(s)
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64 £,Five star(s)
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51 £,Four star(s)
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52 £,Two star(s)
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12 £,Three star(s)
Sequential Art,The Complete Maus (Maus #1-2),10.64 £,Three star(s)
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12 £,Three star(s)
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48 £,One star(s)
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96 £,Five star(s)
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71 £,Four star(s)
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87 £,Three star(s)
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39 £,Four star(s)
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24 £,Three star(s)
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76 £,Four star(s)
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28 £,Five star(s)
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65 £,Five star(s)
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06 £,Four star(s)
Classics,The Secret Garden,15.08 £,Four star(s)
Classics,The Metamorphosis,28.58 £,One star(s)
Classics,The Pilgrim's Progress,50.26 £,Two star(s)
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82 £,Two star(s)
Classics,Little Women (Little Women #1),28.07 £,Four star(s)
Classics,Gone with the Wind,32.49 £,Three star(s)
Classics,Candide,58.63 £,Three star(s)
Classics,Animal Farm,57.22 £,Three star(s)
Classics,Wuthering Heights,17.73 £,Three star(s)
Classics,The Picture of Dorian Gray,29.70 £,Two star(s)
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78 £,Four star(s)
Classics,Beowulf,38.35 £,Two star(s)
Classics,And Then There Were None,35.01 £,Two star(s)
Classics,The Story of Hong Gildong,43.19 £,Four star(s)
Classics,The Little Prince,45.42 £,Two star(s)
Classics,Sense and Sensibility,37.46 £,One star(s)
Classics,Of Mice and Men,47.11 £,Two star(s)
Classics,Emma,32.93 £,Two star(s)
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53 £,One star(s)
Philosophy,Sophie's World,15.94 £,Five star(s)
Philosophy,The Death of Humanity: and the Case for Life,58.11 £,Four star(s)
Philosophy,The Stranger,17.44 £,Four star(s)
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,54.21 £,One star(s)
Philosophy,Kierkegaard: A Christian Missionary to Christians,47.13 £,One star(s)
Philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93 £,Five star(s)
Philosophy,Critique of Pure Reason,20.75 £,One star(s)
Philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",20.02 £,One star(s)
Philosophy,The Nicomachean Ethics,36.34 £,One star(s)
Philosophy,Meditations,25.89 £,Two star(s)
Philosophy,Beyond Good and Evil,43.38 £,One star(s)
Romance,Chase Me (Paris Nights #2),25.27 £,Five star(s)
Romance,Black Dust,34.53 £,Five star(s)
Romance,Her Backup Boyfriend (The Sorensen Family #1),33.97 £,One star(s)
Romance,First and First (Five Boroughs #3),15.97 £,Four star(s)
Romance,Fifty Shades Darker (Fifty Shades #2),21.96 £,One star(s)
Romance,The Wedding Dress,24.12 £,One star(s)
Romance,Suddenly in Love (Lake Haven #1),55.99 £,Two star(s)
Romance,Something More Than This,16.24 £,Four star(s)
Romance,Doing It Over (Most Likely To #1),35.61 £,Three star(s)
Romance,The Wedding Pact (The O'Malleys #2),32.61 £,Three star(s)
Romance,Hold Your Breath (Search and Rescue #1),28.82 £,One star(s)
Romance,Dirty (Dive Bar #1),40.83 £,Four star(s)
Romance,Take Me Home Tonight (Rock Star Romance #3),53.98 £,Three star(s)
Romance,Off the Hook (Fishing for Trouble #1),47.67 £,Three star(s)
Romance,A Gentleman's Position (Society of Gentlemen #3),14.75 £,Five star(s)
Romance,"Sit, Stay, Love",20.90 £,Three star(s)
Romance,A Girl's Guide to Moving On (New Beginnings #2),31.30 £,One star(s)
Romance,The Perfect Play (Play by Play #1),59.99 £,Three star(s)
Romance,Dark Lover (Black Dagger Brotherhood #1),12.87 £,One star(s)
Romance,Changing the Game (Play by Play #2),13.38 £,Three star(s)
Romance,A Walk to Remember,56.43 £,One star(s)
Romance,The Purest Hook (Second Circle Tattoos #3),12.25 £,One star(s)
Romance,The Obsession,45.43 £,One star(s)
Romance,Reservations for Two,11.10 £,Three star(s)
Romance,Best of My Love (Fool's Gold #20),27.41 £,Two star(s)
Romance,Where Lightning Strikes (Bleeding Stars #3),39.77 £,Three star(s)
Romance,This One Moment (Pushing Limits #1),48.71 £,One star(s)
Romance,"Rhythm, Chord & Malykhin",28.34 £,Two star(s)
Romance,My Perfect Mistake (Over the Top #1),38.92 £,Two star(s)
Romance,Listen to Me (Fusion #1),58.99 £,Three star(s)
Romance,Imperfect Harmony,34.74 £,Four star(s)
Romance,Fighting Fate (Fighting #6),39.24 £,Three star(s)
Romance,Deep Under (Walker Security #1),47.09 £,Five star(s)
Romance,Charity's Cross (Charles Towne Belles #4),41.24 £,One star(s)
Romance,Bounty (Colorado Mountain #7),37.26 £,Four star(s)
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36 £,Four star(s)
Womens Fiction,Will You Won't You Want Me?,13.86 £,Three star(s)
Womens Fiction,Keep Me Posted,20.46 £,Four star(s)
Womens Fiction,Grey (Fifty Shades #4),48.49 £,Four star(s)
Womens Fiction,Meternity,43.58 £,Three star(s)
Womens Fiction,Some Women,13.73 £,Five star(s)
Womens Fiction,Shopaholic Ties the Knot (Shopaholic #3),48.39 £,Five star(s)
Womens Fiction,Can You Keep a Secret?,21.94 £,One star(s)
Womens Fiction,Twenties Girl,42.80 £,Two star(s)
Womens Fiction,The Undomestic Goddess,45.75 £,Four star(s)
Womens Fiction,The Nanny Diaries (Nanny #1),52.53 £,Five star(s)
Womens Fiction,The Devil Wears Prada (The Devil Wears Prada #1),44.29 £,One star(s)
Womens Fiction,Something Borrowed (Darcy & Rachel #1),48.96 £,Five star(s)
Womens Fiction,Something Blue (Darcy & Rachel #2),54.62 £,One star(s)
Womens Fiction,I've Got Your Number,19.69 £,One star(s)
Womens Fiction,The Edge of Reason (Bridget Jones #2),19.18 £,Four star(s)
Womens Fiction,Bridget Jones's Diary (Bridget Jones #1),29.82 £,One star(s)
Fiction,Soumission,50.10 £,One star(s)
Fiction,Private Paris (Private #10),47.61 £,Five star(s)
Fiction,"We Love You, Charlie Freeman",50.27 £,Five star(s)
Fiction,Thirst,17.27 £,Five star(s)
Fiction,The Murder That Never Was (Forensic Instincts #5),54.11 £,Three star(s)
Fiction,Tuesday Nights in 1980,21.04 £,Two star(s)
Fiction,The Vacationers,42.15 £,Four star(s)
Fiction,The Regional Office Is Under Attack!,51.36 £,Five star(s)
Fiction,Finders Keepers (Bill Hodges Trilogy #2),53.53 £,Five star(s)
Fiction,The Time Keeper,27.88 £,Five star(s)
Fiction,The Testament of Mary,52.67 £,Four star(s)
Fiction,The First Hostage (J.B. Collins #2),25.85 £,Three star(s)
Fiction,Take Me with You,45.21 £,Three star(s)
Fiction,Still Life with Bread Crumbs,26.41 £,Three star(s)
Fiction,Shtum,55.84 £,Four star(s)
Fiction,My Name Is Lucy Barton,41.56 £,One star(s)
Fiction,My Mrs. Brown,24.48 £,Three star(s)
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),28.90 £,One star(s)
Fiction,I Am Pilgrim (Pilgrim #1),10.60 £,Four star(s)
Fiction,Eligible (The Austen Project #4),27.09 £,Three star(s)
Fiction,Eight Hundred Grapes,14.39 £,Four star(s)
Fiction,Dear Mr. Knightley,11.21 £,Five star(s)
Fiction,Cometh the Hour (The Clifton Chronicles #6),25.01 £,Three star(s)
Fiction,Balloon Animals,17.03 £,Three star(s)
Fiction,A Man Called Ove,39.72 £,One star(s)
Fiction,The Silent Sister (Riley MacPherson #1),46.29 £,Five star(s)
Fiction,The Dinner Party,56.54 £,Two star(s)
Fiction,The Improbability of Love,59.45 £,One star(s)
Fiction,Mothering Sunday,13.34 £,Two star(s)
Fiction,Lies and Other Acts of Love,45.14 £,One star(s)
Fiction,Daredevils,16.34 £,Three star(s)
Fiction,11/22/63,48.48 £,Three star(s)
Fiction,The Shack,28.03 £,One star(s)
Fiction,The High Mountains of Portugal,51.15 £,One star(s)
Fiction,Miller's Valley,58.54 £,Two star(s)
Fiction,Hystopia: A Novel,21.96 £,Four star(s)
Fiction,The Bourne Identity (Jason Bourne #1),42.78 £,Four star(s)
Fiction,Sister Dear,40.20 £,Four star(s)
Fiction,Memoirs of a Geisha,49.67 £,Three star(s)
Fiction,Me Before You (Me Before You #1),19.02 £,One star(s)
Fiction,Deception Point,40.32 £,Four star(s)
Fiction,The Little Paris Bookshop,24.73 £,Three star(s)
Fiction,The Firm,45.56 £,Three star(s)
Fiction,The Expatriates,44.58 £,Two star(s)
Fiction,Siddhartha,34.22 £,Five star(s)
Fiction,Last One Home (New Beginnings #1),59.98 £,Three star(s)
Fiction,Digital Fortress,58.00 £,Five star(s)
Fiction,Atlas Shrugged,26.58 £,Five star(s)
Fiction,Three-Martini Lunch,23.21 £,Three star(s)
Fiction,The Nightingale,26.26 £,Four star(s)
Fiction,The Infinities,27.41 £,One star(s)
Fiction,The Husband's Secret,52.51 £,Five star(s)
Fiction,The Da Vinci Code (Robert Langdon #2),22.96 £,Two star(s)
Fiction,The Art of Fielding,22.10 £,One star(s)
Fiction,Lila (Gilead #3),12.47 £,Three star(s)
Fiction,Jurassic Park (Jurassic Park #1),44.97 £,One star(s)
Fiction,Inferno (Robert Langdon #4),41.00 £,Five star(s)
Fiction,Crazy Rich Asians (Crazy Rich Asians #1),49.13 £,Five star(s)
Fiction,Big Little Lies,22.11 £,One star(s)
Fiction,The Course of Love,16.78 £,Three star(s)
Fiction,When I'm Gone,51.96 £,Three star(s)
Fiction,The Silent Wife,12.34 £,Five star(s)
Fiction,The Bette Davis Club,30.66 £,Three star(s)
Fiction,Kitchens of the Great Midwest,57.20 £,Five star(s)
Fiction,Bright Lines,39.07 £,Five star(s)
Childrens,Birdsong: A Story in Pictures,54.64 £,Three star(s)
Childrens,The Bear and the Piano,36.89 £,One star(s)
Childrens,The Secret of Dreadwillow Carse,56.13 £,One star(s)
Childrens,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08 £,Four star(s)
Childrens,Little Red,13.47 £,Three star(s)
Childrens,Walt Disney's Alice in Wonderland,12.96 £,Five star(s)
Childrens,Twenty Yawns,22.08 £,Two star(s)
Childrens,Rain Fish,23.57 £,Three star(s)
Childrens,Once Was a Time,18.28 £,Two star(s)
Childrens,Luis Paints the World,53.95 £,Three star(s)
Childrens,Nap-a-Roo,25.08 £,One star(s)
Childrens,The Whale,35.96 £,Four star(s)
Childrens,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87 £,Three star(s)
Childrens,Raymie Nightingale,34.41 £,Two star(s)
Childrens,Playing from the Heart,32.38 £,One star(s)
Childrens,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54 £,One star(s)
Childrens,The Wild Robot,56.07 £,Three star(s)
Childrens,The Thing About Jellyfish,48.77 £,One star(s)
Childrens,The Lonely Ones,43.59 £,Five star(s)
Childrens,The Day the Crayons Came Home (Crayons),26.33 £,Five star(s)
Childrens,The Cat in the Hat (Beginner Books B-1),16.26 £,Two star(s)
Childrens,Red: The True Story of Red Riding Hood,28.54 £,Three star(s)
Childrens,Horrible Bear!,37.52 £,Two star(s)
Childrens,Green Eggs and Ham (Beginner Books B-16),10.79 £,Four star(s)
Childrens,Counting Thyme,10.62 £,One star(s)
Childrens,Are We There Yet?,10.66 £,Three star(s)
Childrens,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88 £,Four star(s)
Childrens,Matilda,28.34 £,One star(s)
Childrens,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85 £,Three star(s)
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97 £,Two star(s)
Religion,You Are What You Love: The Spiritual Power of Habit,21.87 £,Four star(s)
Religion,God: The Most Unpleasant Character in All Fiction,30.03 £,Five star(s)
Religion,The Book of Mormon,24.57 £,Three star(s)
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62 £,One star(s)
Religion,The Bhagavad Gita,57.49 £,Three star(s)
Religion,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42 £,Four star(s)
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30 £,Five star(s)
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05 £,Three star(s)
Nonfiction,Reasons to Stay Alive,26.41 £,Two star(s)
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11 £,Five star(s)
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18 £,Four star(s)
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12 £,Three star(s)
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77 £,Three star(s)
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13 £,One star(s)
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06 £,One star(s)
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83 £,Four star(s)
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,19.83 £,Two star(s)
Nonfiction,In the Country We Love: My Family Divided,22.00 £,Four star(s)
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35 £,Two star(s)
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14 £,Five star(s)
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,30.81 £,One star(s)
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,43.54 £,Two star(s)
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,38.21 £,Two star(s)
Nonfiction,The Genius of Birds,17.24 £,One star(s)
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,38.49 £,Five star(s)
Nonfiction,So You've Been Publicly Shamed,12.23 £,Two star(s)
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43 £,Three star(s)
Nonfiction,Big Magic: Creative Living Beyond Fear,30.80 £,Three star(s)
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43 £,Two star(s)
Nonfiction,Agnostic: A Spirited Manifesto,12.51 £,Five star(s)
Nonfiction,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20 £,Four star(s)
Nonfiction,What's It Like in Space?: Stories from Astronauts Who've Been There,19.60 £,Two star(s)
Nonfiction,The Year of Magical Thinking,43.04 £,Two star(s)
Nonfiction,The Literature Book (Big Ideas Simply Explained),17.43 £,Three star(s)
Nonfiction,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77 £,One star(s)
Nonfiction,Swell: A Year of Waves,45.58 £,One star(s)
Nonfiction,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95 £,Two star(s)
Nonfiction,Looking for Lovely: Collecting the Moments that Matter,29.14 £,Five star(s)
Nonfiction,Let It Out: A Journey Through Journaling,26.79 £,Five star(s)
Nonfiction,Hamilton: The Revolution,58.79 £,Three star(s)
Nonfiction,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06 £,Four star(s)
Nonfiction,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75 £,Five star(s)
Nonfiction,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80 £,Four star(s)
Nonfiction,Brain on Fire: My Month of Madness,49.32 £,Five star(s)
Nonfiction,Abstract City,56.37 £,Five star(s)
Nonfiction,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06 £,One star(s)
Nonfiction,The Lonely City: Adventures in the Art of Being Alone,33.26 £,Two star(s)
Nonfiction,The Diary of a Young Girl,59.90 £,Three star(s)
Nonfiction,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21 £,Three star(s)
Nonfiction,Furiously Happy: A Funny Book About Horrible Things,41.46 £,Four star(s)
Nonfiction,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68 £,Four star(s)
Nonfiction,"Mother, Can You Not?",16.89 £,Five star(s)
